"","CAKI.1","MALME.3M","SK.MEL.28","MOLT.4","SNB.19","RPMI.8226","IGROV1","HOP.62","SN12C","SNB.75","NCI.H322M","OVCAR.5","HS.578T","K.562","SK.OV.3","NCI.ADR.RES","SW.620","NCI.H522","HCT.15","OVCAR.3","A549.ATCC","DU.145","MCF7","OVCAR.4","TK.10","COLO.205","NCI.H460","EKVX","NCI.H226","UACC.62","LOX.IMVI","BT.549","HL.60.TB.","UO.31","OVCAR.8","HCC.2998","UACC.257","T.47D","U251","HCT.116"
"FURIN",6.45121276062572,5.80993143736805,5.61765405770344,6.46597609651111,6.84674527667181,6.33985178398851,7.23457891774908,6.99095599459076,6.48864514641752,7.8341556136076,6.40939263342499,7.20652699265099,7.08958395237178,6.63372326550538,7.58345966231777,7.03232238919271,7.30103976473801,6.04658054921329,6.73606498124364,7.14669696616371,7.06931656877277,6.66675801185954,5.53605600949341,6.61765258856614,7.39831701858373,6.34872992440796,7.26865989062727,6.58946539108101,6.6043693826217,5.25550450983203,6.12928507793641,6.23649453176868,6.36106824389671,5.86789893435876,6.41278321864152,7.02236892279344,6.53605445486765,6.58946539108101,7.0290121913256,6.78004888879561
"UMPS",1.67811698862824,2.9818709151367,3.18588239901588,0.48552987313585,0.848077054053145,2.72248788332127,3.10435343524094,2.51098722949467,2.43298612360356,2.37853936712236,0.678162070735047,0.263154625411455,-0.151842802900928,0.585058677184702,3.3923311626661,2.53607777407821,1.92603738371565,2.86791622680306,0.137634671883373,2.40601958008019,1.63231475329861,1.13756909930691,4.01793081349472,2.37853936712236,1.07045802601959,1.48547835107307,1.84803698086061,1.26309451687486,1.00007213294874,0.926075347876042,2.00003606692519,3.12103198356768,2.32195694849964,2.16995706097589,2.16995706097589,0.378622595527227,1.84803698086061,2.72248788332127,2.96349261994659,2.45945784921776
"UPP1",6.73199914383505,6.26491356913962,7.5368307819434,6.68510057404192,5.23649644515352,7.05636784494226,5.56071801102853,6.06177835730819,7.91288993485848,5.53605600949341,3.32194252176564,7.85922478329376,9.73978077850951,7.25172003925594,6.09803418908314,5.50462357014243,1.32198580153487,5.66675943183288,9.62516106282699,8.9442731104851,7.98925313293252,4.01793081349472,2.72248788332127,6.0789534755575,9.50541480784633,5.91647903300369,5.27798846558116,7.10852550220898,6.26303628434174,6.81378247361206,9.01820045705718,6.75221470617161,8.23505734153047,7.71699158009634,3.98186178424212,6.88630748297435,7.35931119551078,9.50521629462381,11.3632039917295,9.47613882804449
"UPP2",5.59991581681301,4.91169637487116,5.34696043407979,5.00450588660502,5.28170195882167,5.52982406924185,5.45286225853435,5.42626810980294,5.67807472287364,5.59693812315903,5.09592863839892,4.7115004131092,3.51097457444153,4.87774915706665,5.46597772851631,5.32553392930632,5.12928713892491,5.52982406924185,4.54226424157784,5.01346672634776,5.1858705087538,5.1538093885875,5.17393092837943,5.25550450983203,4.84298385859156,5.16992900892297,5.17792177753576,5.59693812315903,4.99548904142541,5.32193170162046,5.26303816284724,4.9020784043697,5.3398535650902,5.64674157793579,4.72792589868516,4.89239588346429,5.22110759317781,5.81506557970399,5.70044249255196,5.47897503977156
"UCK1",4.96347874799004,3.3923311626661,4.75489284546854,4.94017144980754,4.99548904142541,5.55765821776897,4.7115004131092,5.86046874163902,4.30013104787551,5.09592863839892,3.92600890993974,2.96349261994659,3.13751991791861,4.67807754062913,4.9212506499475,5.22110759317781,5.16992900892297,5.14160036533282,4.93546446248726,6.37677830797705,5.1456815305996,4.30743581151244,6.18784888844376,5.8826454946056,5.52042539164947,5.23266459374007,5.49185630231509,4.8972452668252,5.42290910553377,6.01569603692574,5.41616754340608,4.57894474946168,5.98413587367826,4.60289034572283,5.13340323565362,4.39232429273879,4.52982719194825,6.26303628434174,6.1618896973127,5.23649644515352
"RRM2",10.4888444468536,7.05745135528788,9.15152424774782,10.223881163116,10.4605583864757,8.7751167337428,8.53177171522503,9.78070395798477,9.87267503415807,11.4705064120786,10.9721182902029,9.50402464132731,8.54380556253858,8.60585023749653,7.67736799692095,11.72758019871,9.06635859398457,9.9886848287697,8.99435371974021,10.444186766252,9.9480753045424,8.59768051612035,11.0856716873857,9.09143565079563,8.27612487065966,10.0718646789293,9.24887657996648,10.7962830937836,9.33717609163746,9.35909086470332,8.68474897101576,9.07253486768263,6.9164778387212,6.25927437045026,8.70597824715543,9.76636342811609,10.3247432229853,11.055146905292,9.77016848532273,5.83794576408295
"TYMS",1.84803698086061,3.45944473398714,3.27799962036785,4.99548904142541,4.67243099958801,3.81763348935487,3.89725010805936,5.07895560971703,2.92601840126082,1.43301283943629,4.29278910989805,1.92603738371565,3.18588239901588,5.56985864558047,4.00000901681583,4.56072106757611,2.9818709151367,1.76557717794607,2.45945784921776,4.9772845034769,1.96351111568117,6.75755802229839,5.16992900892297,5.03122314251541,3.58497452312974,2.20166522376443,2.82783934412269,4.82782410452049,5.07039362162025,3.16994103129816,2.137536311901,5.00899326363968,4.14568560599205,2.92601840126082,3.76554535437575,3.66676795164355,3.07040650273013,2.86791622680306,4.29278910989805,5.07468096728233
"CNDP1",4.80219838788253,4.88264793984522,5.3398535650902,4.43296608640435,5.13750762230957,5.12101954663081,6.68369785770568,5.23649644515352,4.2479351065554,5.28910039217241,4.42627146489599,4.75489284546854,1.58501058975437,5.51412541704918,4.77083433062003,4.07039791533632,3.18588239901588,4.67243099958801,4.39232429273879,4.30743581151244,5.25550450983203,3.30744309779583,4.68370206789498,5.45286225853435,4.67243099958801,4.79701816737732,5.43962646173541,4.64386196054335,4.93074206770281,3.40600596994221,5.15785621029866,5.20945726479947,4.72792589868516,5.74953694925606,4.95884731412659,4.35050431910131,4.99095939716672,5.62058934275589,5.10014087738731,4.81762837344222
"APRT",9.77412830906002,8.38844830684376,8.30788430474726,8.91916158198938,9.61065595893697,9.39788872199008,8.61654921134456,9.89693796650337,9.15507144430567,9.31718669445523,7.77807778679946,9.23218129757605,8.80574419454154,8.61691673005075,8.42458664612736,9.15329893622598,9.12928327456906,9.2712297966992,8.5618610901389,8.9224360375734,8.33315579765785,9.87897066336847,8.94515146347912,8.65642522082297,7.46025191819122,8.80187031962124,8.39145884967886,9.18090395774846,8.4797806681453,8.07146289887438,8.40429049026976,8.61507819956977,8.98099665524314,9.37482235894086,8.51530599973837,9.11426316091432,7.33896006651749,7.9835642672331,8.91826725729324,9.03452415044784
"SLCO2B1",3.77611451865547,3.29279647053071,5.02680448478184,4.9772845034769,6.05745243839104,4.7115004131092,4.21723847262477,6.07467882679,4.04440286293827,4.54226424157784,4.15381344108459,5.46597772851631,4.94953960192545,4.68370206789498,3.44626946556317,6.39575004159255,4.51728199317417,4.15381344108459,3.7115059195473,3.53606533721282,5.30743216835694,4.48543326775873,3.62059813963217,3.52357450117674,4.43962978590604,4.1937796269546,4.55459499079241,4.12102369228835,4.72792589868516,3.85799094471423,3.80736522698538,4.57894474946168,5.32553392930632,2.92601840126082,4.46598099252116,4.35050431910131,5.07895560971703,5.92600179140796,5.08746708446481,3.8679063454317
