"","X786.0","A498","A549.ATCC","ACHN","BT.549","CAKI.1","CCRF.CEM","COLO.205","DU.145","EKVX","HCC.2998","HCT.116","HCT.15","HL.60.TB.","HOP.62","HOP.92","HS.578T","HT29","IGROV1","K.562","KM12","LOX.IMVI","M14","MALME.3M","MCF7","MDA.MB.231.ATCC","MDA.MB.435","MOLT.4","NCI.H226","NCI.H23","NCI.H322M","NCI.H460","NCI.H522","NCI.ADR.RES","OVCAR.3","OVCAR.4","OVCAR.5","OVCAR.8","PC.3","RPMI.8226","SF.268","SF.295","SF.539","SK.MEL.28","SK.MEL.5","SK.OV.3"
"GSTP1",7.06069701235759,8.8514370483009,11.0126246086954,10.3862937429435,9.62844572241071,10.6677325835376,9.62131948419029,10.9010177850585,7.99830891456811,11.4629112508744,11.2626234821405,9.73521769129413,11.2735625699969,9.9967560682795,8.50739863740796,10.4744158637144,9.8317824155761,10.8157035833911,10.4218545506114,10.8324154444772,6.00899102343521,9.64169070316439,11.0476011634115,10.7356407215857,6.97384198726144,9.62351592438798,9.57402598720517,10.0695841620739,9.92035300430001,11.7782004023955,10.3468462238672,9.74113003731464,10.3419636273357,10.4969537142543,9.33427350880757,11.6178807001251,10.6143418547469,10.0193128646661,8.22496684718437,6.2016358213518,9.927037316917,9.46434173699312,8.26068482677249,10.5430319169506,9.94441939337043,9.93014609578653
"GSTO1",9.76553491211378,10.2859802214825,10.4450149493616,10.2555008511699,9.70994555249458,10.0457597978723,9.83920394559639,10.6182020333802,9.95608584647342,9.00954900688978,10.109177833975,10.3905990130238,10.4071616298294,10.5910548675664,8.85424536595195,11.1410853824436,9.09249315113729,9.22037856955523,9.84124998679304,10.050120866463,9.21018451948267,11.2610959502526,11.6536512679414,11.9342069013607,8.81249854621766,10.9420746655569,11.9721900712537,10.1535521583714,10.8505776253369,9.27984292561413,8.48502463597334,10.4901490088475,10.1107444198609,9.70511413351761,8.55535642212729,8.40045296723555,9.45491634308547,9.02956359049368,8.49745309517338,8.69974629493947,9.92303044687265,9.43608707187916,9.34340804438755,11.8587581387802,12.0030259556663,9.29829195976481
"RUVBL1",7.26959518667662,6.98868582275207,7.99038821912274,6.92837150749717,8.61544609315151,8.21091530297733,7.79441651621259,8.02680061252422,6.6452996052017,6.56071648275231,7.09697969020145,7.70597859262826,7.35226505618035,7.63517467237647,7.76619825999938,7.86851454122312,8.0229231437249,7.40514231428361,7.97670788457207,7.0650132278787,8.08214957371357,7.84549067820295,7.99152241294986,7.27239744221638,7.93073792883122,7.18487633445093,8.3767770059067,8.52002969720996,7.23457891774908,8.87528890544051,6.84549130546126,8.57742920570456,7.44873662384201,8.28216223002377,8.70804959667947,8.21140212415761,7.10957055404449,7.50541540334491,7.38543190004915,7.17991008497669,7.06177727744784,7.48784083755266,7.6249789104174,6.88019695364125,7.88142051992223,6.79051271514115
"AKR1A1",9.17417693418358,8.76022127919134,8.92065089227238,8.49625500958907,9.37981176034282,8.71218339519942,8.72894120842102,9.21504781347861,9.08241546282916,9.19377198975852,9.50858731015303,9.28771261038064,9.82861270127808,8.70251937545546,9.10250093160172,8.50700212932675,9.0378217399203,8.38930910317628,9.28794342308572,8.4119350483657,9.52845430611955,9.132628506102,8.75020484432281,9.23625366418588,8.23266123640956,7.92896303283218,8.3106132360516,9.01346253896579,8.44418707690976,8.12049761683978,9.61838568580758,8.9764212071903,8.82781934211179,8.9259997151629,9.04001595291606,8.77412847382645,8.28262559748481,8.45327104562113,9.22665326408814,9.51589711137188,8.88935215683228,9.13160003000514,9.58176568374451,11.4440831581472,7.81506365782107,8.7142458611649
"DVL3",8.76884629049499,8.39746115390016,7.67736799692095,8.88539163664443,8.14006336711075,8.42794175141042,8.39660520928121,8.47289428449363,8.19623375275326,7.98128242496946,8.45491654865611,8.08799367656988,8.01402102841736,6.88508744584383,8.86913142817613,9.00393976669602,9.90749174356119,7.77346958727206,7.85112498770041,9.14031879501797,7.94661449020998,8.76553507786456,8.60177115975774,8.98470355160502,8.64241313393981,7.81826324751348,8.56833656219035,7.80799948239577,9.5607151455093,8.79928194535916,8.77774878867925,8.31288340896197,9.67012527504825,8.66604678457739,8.94104789986955,9.22231215309036,8.44335841828471,8.43754444243743,8.17692161015673,8.68264387138637,8.40429049026976,8.8672790486379,9.50462059101244,8.24935099773003,8.320124049447,8.53216147469008
"EPHX1",8.90358092660044,11.704163070877,11.7858611466176,8.74315173079742,8.88050217723766,7.93369124501143,5.43629845169473,9.18512345520369,11.0035179823811,10.2195316901689,9.96751462489755,7.88569698335831,9.3800282999041,6.24412784657408,10.5762009763086,9.48784023475549,8.82750181273374,9.34740013098458,8.5495925524684,6.88019695364125,8.0800185622358,6.00000225420924,8.01959128430962,10.4952555444895,6.76818564834975,8.90388214692509,7.54843739536626,6.34872992440796,8.73944343532389,8.61581389294269,10.6718064946429,11.4296160165036,9.51983298843885,8.9744148766236,8.09328603214404,9.57799540888899,10.2084783641433,8.47330027707684,8.82145543800053,8.03342355218431,6.82400532427332,9.92525785953125,10.2262918829022,7.65963990051451,9.37525690557777,11.1982609172597
"PDGFRB",2.86791622680306,2.86791622680306,2.29281119168335,4.12929126089307,3.01793971893721,5.41616754340608,2.51098722949467,2.94487718198511,2.63229148458671,3.15382154604461,2.00003606692519,3.10435343524094,2.00003606692519,2.56073940672558,8.95884296517389,4.41278829853873,7.78594347308265,2.78661727036308,2.0704236773644,3.24794269962725,2.00003606692519,3.05312871822282,2.137536311901,2.88754476648879,4.59694110392467,4.1699330163925,1.84803698086061,2.2630644616674,6.99548564951581,2.84801694384693,2.40601958008019,2.70046191327868,3.47250076865682,5.45615232096553,2.94487718198511,2.53607777407821,1.84803698086061,6.00000225420924,2.67809444704654,3.08747981403333,5.47573667297408,6.62058787660463,7.91468470321266,2.40601958008019,2.20166522376443,2.2630644616674
"CYP1B1",6.86046750007863,7.65176998881962,7.5522856085608,7.97039411315182,9.10956977053921,6.91169278012354,3.91648619867787,3.24794269962725,8.44460122780302,8.19377223612031,3.91648619867787,3.56072718065183,5.94486078784304,6.173928930191,9.04439439259612,9.17791804127991,6.30743034677575,5.71424826565406,4.02680891020639,4.59694110392467,5.31107073624356,3.76554535437575,3.89725010805936,5.9354621051482,6.19771012347909,8.8313075605298,2.51098722949467,3.96348337199038,7.08852431664199,9.65051345118282,9.16992525191018,6.92600060498258,4.76554005037911,5.70598066546348,3.8679063454317,4.28540961727939,7.25077307887148,5.06178051702645,5.74416378716313,4.05312002736737,6.7401193924069,7.20652699265099,7.97096923552968,4.02680891020639,3.84800692523572,9.40790525634065
"PPP3CA",9.24840224335076,8.25833094377337,8.23601467040582,8.34207511258922,7.79960606998172,7.52120860157763,8.53410869411303,8.03397409387782,7.79831043056543,8.89269489494851,7.52591304354023,10.3018392229639,7.35579242751958,8.52120820890086,8.79895807181037,8.74113020589314,8.54689484563492,7.57440506594528,5.94953726747312,6.65248792900795,8.97813870114866,7.33091777419822,6.95419747385015,7.64024565937757,8.01066852230269,9.23409913740804,7.27426259323029,5.72792317662675,7.39831701858373,7.69488088908041,7.77412880335924,7.61691709752261,3.74417186191114,8.5379952661086,8.28863587040474,7.65320407872284,8.03121928209955,7.83352326890821,7.27146396168727,7.45779208090145,8.25219281329221,8.82081750090328,8.14618730073704,7.25833141493416,6.04001787139187,7.88508683556713
"ALDH1A3",4.84800191590403,6.92718654327784,5.08746708446481,7.78528963469074,4.7333597642692,10.1777933693284,1.48547835107307,0.48552987313585,8.24412641910655,6.00674907613253,5.6380767341558,10.2980626823096,5.49505872724483,1.80739614132707,11.0556214425616,7.43296024216883,6.77873555804715,4.56072106757611,5.07039362162025,1.37856711045748,7.36544846344071,8.49585542652563,10.8496397446195,10.0420698643101,3.21724622898717,5.30378440056499,1.84803698086061,1.00007213294874,9.8751351347429,2.00003606692519,8.4466702008051,2.29281119168335,3.67808317612362,6.96924375582673,1.43301283943629,2.58498654543813,11.1360940175979,5.28170195882167,9.97756628721811,1.88756426197254,7.90327994468552,10.0204245541081,1.07045802601959,9.24626579652156,2.0704236773644,2.37853936712236
