"","cell_line","cancertype","drugscore","drugcateg","drug5FU"
"OVCAR.3","A549/ATCC","NSCLC",-0.414495654332561,"Resistant",3.41
"MOLT.4","ACHN","Renal",-0.0350606431323143,"No Response",3.03
"BT.549","BT-549","Breast",-0.342823136804386,"Resistant",3
"OVCAR.8","CAKI-1","Renal",-0.0370371861658134,"No Response",3.15
"SNB.19","COLO 205","Colon",0.0650806776574919,"No Response",3.16
"UACC.62","DU-145","Prostate",-0.496006598880036,"Resistant",3.38
"RPMI.8226","EKVX","NSCLC",-0.557587396621407,"Resistant",3
"OVCAR.4","HCC-2998","Colon",-0.297344093290977,"No Response",4.23
"ACHN","HCT-116","Colon",0.696718847977599,"Sensitive",3.26
"HT29","HCT-15","Colon",0.0963691056247655,"No Response",3.28
"SW.620","HL-60(TB)","Leukemia",0.672123861776689,"Sensitive",3.02
"CAKI.1","HOP-62","NSCLC",-0.398349973358818,"Resistant",3.51
"HCC.2998","HOP-92","NSCLC",0.0863133159359725,"No Response",3
"SN12C","HS 578T","Breast",-0.28510639969855,"No Response",3
"COLO.205","HT29","Colon",0.0738624529887987,"No Response",3.36
"SK.MEL.5","IGROV1","Ovarian",-0.0926986125676585,"No Response",3
"NCI.H460","K-562","Leukemia",0.596991650739695,"Sensitive",3.13
"SNB.75","KM12","Colon",-0.0484698838427882,"No Response",3.02
"NCI.H23","LOX IMVI","Melanoma",0.578031397483013,"Sensitive",3.07
"UACC.257","M14","Melanoma",-0.0545953418380121,"No Response",3.07
"HS.578T","MALME-3M","Melanoma",-0.100612232521149,"No Response",3.03
"UO.31","MCF7","Breast",0.520739532973648,"Sensitive",3.51
"SR","MOLT-4","Leukemia",0.647296173038725,"Sensitive",3
"PC.3","NCI/ADR-RES","Ovarian",-0.281939755691892,"No Response",3
"TK.10","NCI-H226","NSCLC",-0.475883695822669,"Resistant",3
"NCI.H226","NCI-H23","NSCLC",-0.125891286378644,"No Response",3.33
"K.562","NCI-H322M","NSCLC",-0.85712962309004,"Resistant",3
"HCT.15","NCI-H460","NSCLC",0.136691512931582,"No Response",3.53
"KM12","NCI-H522","NSCLC",0.652770536653636,"Sensitive",3.54
"DU.145","OVCAR-3","Ovarian",0.160728558435134,"No Response",3.21
"SK.MEL.28","OVCAR-4","Ovarian",-0.308183566668069,"Resistant",3
"NCI.ADR.RES","OVCAR-5","Ovarian",-1.09231221699814,"Resistant",3
"NCI.H322M","OVCAR-8","Ovarian",-0.117174228913923,"No Response",3.14
"OVCAR.5","PC-3","Prostate",-0.0774623832853768,"No Response",3
"SK.OV.3","RPMI-8226","Leukemia",0.553209192376384,"Sensitive",3.96
"U251","SF-295","CNS",-0.102939651453791,"No Response",3
"LOX.IMVI","SF-539","CNS",0.0424772197308774,"No Response",4.14
"IGROV1","SK-MEL-28","Melanoma",-0.724214561766148,"Resistant",3.19
"M14","SK-MEL-5","Melanoma",0.308228206537282,"Sensitive",3.07
"SF.539","SK-OV-3","Ovarian",-0.857229959662547,"Resistant",3.22
